year	month	day	monthday	link	city	state	Concert	Keep	day
2014	3	66	Mar 22	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5891.MOV")	Washington	District of Columbia	Dale Earnhardt Jr Jr	keep	66
2014	3	67	Mar 23	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_5991.MOV")	Washington	District of Columbia		keep	67
2014	3	68	Mar 24	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6007.MOV")	Washington	District of Columbia		keep	68
2014	3	69	Mar 25	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6049.MOV")	Washington	District of Columbia		keep	69
2014	3	70	Mar 26	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6067.MOV")	Washington	District of Columbia	Terraplane Sun	keep	70
2014	3	71	Mar 27	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6086.MOV")	Washington	District of Columbia		keep	71
2014	3	72	Mar 28	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6103.MOV")	Washington	District of Columbia		keep	72
2014	3	73	Mar 29	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6160.MOV")	Washington	District of Columbia		keep	73
2014	3	74	Mar 30	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6177.MOV")	Washington	District of Columbia		keep	74
2014	3	75	Mar 31	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6247.MOV")	Washington	District of Columbia		keep	75
2014	4	76	Apr 1	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6294.MOV")	Washington	District of Columbia		keep	76
2014	4	77	Apr 2	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6276.MOV")	Washington	District of Columbia		keep	77
2014	4	78	Apr 3	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6305.MOV")	Washington	District of Columbia		keep	78
2014	4	79	Apr 4	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6312.MOV")	Washington	District of Columbia		keep	79
2014	4	4	Apr 5	=HYPERLINK("http://localhost:8000/2014/04/19/20140419-135255/IMG_6330.MOV")	Annandale	Virginia		keep	4
2014	4	80	Apr 6	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6377.MOV")	Washington	District of Columbia		keep	80
2014	4	81	Apr 7	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6395.MOV")	Washington	District of Columbia		keep	81
2014	4	82	Apr 8	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6416.MOV")	Washington	District of Columbia		keep	82
2014	4	83	Apr 9	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6322.MOV")	Washington	District of Columbia		keep	83
2014	4	84	Apr 10	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6460.MOV")	Washington	District of Columbia		keep	84
2014	4	1	Apr 11	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6493.MOV")	Palm Spring	California	Coachella	keep	1
2014	4	2	Apr 12	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6607.MOV")	Palm Spring	California	Coachella	keep	2
2014	4	3	Apr 13	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6656.MOV")	Palm Spring	California	Coachella	keep	3
2014	4	4	Apr 14	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6753.MOV")	Palm Spring	California	Coachella	keep	4
2014	4	85	Apr 15	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6797.MOV")	Washington	District of Columbia		keep	85
2014	4	86	Apr 16	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6820.MOV")	Washington	District of Columbia		keep	86
2014	4	87	Apr 17	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6962.MOV")	Washington	District of Columbia		keep	87
2014	4	88	Apr 18	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6866.MOV")	Washington	District of Columbia		keep	88
2014	4	89	Apr 19	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6885.MOV")	Washington	District of Columbia		keep	89
2014	4	5	Apr 20	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6896.MOV")	Annandale	Virginia		keep	5
2014	4	90	Apr 21	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6948.MOV")	Washington	District of Columbia		keep	90
2014	4	91	Apr 22	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6961.MOV")	Washington	District of Columbia		keep	91
2014	4	92	Apr 23	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6980.MOV")	Washington	District of Columbia		keep	92
2014	4	93	Apr 24	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6993.MOV")	Washington	District of Columbia		keep	93
2014	4	94	Apr 25	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7009.MOV")	Washington	District of Columbia		keep	94
2014	4	95	Apr 26	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_6127.MOV")	Washington	District of Columbia		keep	95
2014	4	96	Apr 27	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7094.MOV")	Washington	District of Columbia		keep	96
2014	4	97	Apr 28	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7121.MOV")	Washington	District of Columbia		keep	97
2014	4	98	Apr 29	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7149.MOV")	Washington	District of Columbia		keep	98
2014	4	99	Apr 30	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7167.MOV")	Washington	District of Columbia		keep	99
2014	5	100	May 1	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7218.MOV")	Washington	District of Columbia		keep	100
2014	5	101	May 2	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7255.MOV")	Washington	District of Columbia		keep	101
2014	5	1	May 3	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7308.MOV")	Hartford	Connecticut		keep	1
2014	5	1	May 4	=HYPERLINK("http://localhost:8000/2014/05/16/20140516-142608/IMG_7342.MOV")	Rosslyn	Virginia		keep	1
2014	5	102	May 5	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7398.MOV")	Washington	District of Columbia		keep	102
2014	5	103	May 6	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7490.MOV")	Washington	District of Columbia		keep	103
2014	5	104	May 7	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7512.MOV")	Washington	District of Columbia		keep	104
2014	5	105	May 8	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7545.MOV")	Washington	District of Columbia		keep	105
2014	5	106	May 9	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7622.MOV")	Washington	District of Columbia		keep	106
2014	5	1	May 10	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7724.MOV")	Atlantic Beach	North Carolina		keep	1
2014	5	2	May 11	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7833.MOV")	Atlantic Beach	North Carolina		keep	2
2014	5	107	May 12	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7889.MOV")	Washington	District of Columbia		keep	107
2014	5	108	May 13	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7899.MOV")	Washington	District of Columbia		keep	108
2014	5	109	May 14	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7922.MOV")	Washington	District of Columbia		keep	109
2014	5	6	May 15	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7944.MOV")	Annandale	Virginia		keep	6
2014	5	110	May 16	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7923.MOV")	Washington	District of Columbia		keep	110
2014	5	111	May 17	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8020.MOV")	Washington	District of Columbia		keep	111
2014	5	112	May 18	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8055.MOV")	Washington	District of Columbia		keep	112
2014	5	1	May 19	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8135.MOV")	Los Angeles	California		keep	1
2014	5	2	May 20	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8136.MOV")	Los Angeles	California		keep	2
2014	5	1	May 21	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8165.MOV")	San Francisco	California		keep	1
2014	5	3	May 22	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8187.MOV")	Los Angeles	California		keep	3
2014	5	113	May 23	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8234.MOV")	Washington	District of Columbia		keep	113
2014	5	114	May 24	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8266.MOV")	Washington	District of Columbia		keep	114
2014	5	1	May 25	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8323.MOV")	Baltimore	Maryland		keep	1
2014	5	115	May 26	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_7899.MOV")	Washington	District of Columbia		keep	115
2014	5	116	May 27	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8346.MOV")	Washington	District of Columbia		keep	116
2014	5	117	May 28	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8361.MOV")	Washington	District of Columbia		keep	117
2014	5	1	May 29	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8461.MOV")	Seattle	Washington		keep	1
