year	month	day	monthday	link	city	state
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1296.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1318.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1321.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1320.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1350.MOV")	Berrien Springs	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1283.MOV")	Buchanan	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1363.mov")	Washington	District of Columbia
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1362.mov")	Washington	District of Columbia
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1365.MOV")	Niles	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1351.MOV")	Berrien Springs	Michigan
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1367.mov")	Washington	District of Columbia
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1374.mov")	Washington	District of Columbia
2014	08	05	Aug 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1379.mov")	Washington	District of Columbia
2014	08	05	Aug 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1395.mov")	Washington	District of Columbia
2014	08	06	Aug 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1429.mov")	Sapelo Island	Georgia
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1319.MOV")	Buchanan	Michigan
2014	08	06	Aug 6	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1442.MOV")	Upper Marlboro	Maryland
2014	08	05	Aug 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1405.MOV")	Upper Marlboro	Maryland
2014	08	09	Aug 9	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1469.MOV")	Washington	District of Columbia
2014	08	07	Aug 7	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1451.MOV")	Upper Marlboro	Maryland
2014	08	07	Aug 7	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1446.MOV")	Upper Marlboro	Maryland
2014	08	05	Aug 5	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1407.MOV")	Upper Marlboro	Maryland
2014	08	10	Aug 10	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1498.MOV")	Washington	District of Columbia
2014	08	04	Aug 4	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1295.MOV")	Buchanan	Michigan
2014	08	10	Aug 10	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1497.MOV")	Washington	District of Columbia
2014	08	10	Aug 10	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1499.MOV")	Washington	District of Columbia
2014	08	12	Aug 12	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1519.MOV")	Washington	District of Columbia
2014	08	13	Aug 13	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1527.MOV")	Washington	District of Columbia
2014	08	14	Aug 14	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1539.MOV")	Washington	District of Columbia
2014	08	09	Aug 9	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1467.MOV")	Washington	District of Columbia
2014	08	14	Aug 14	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1540.MOV")	Washington	District of Columbia
2014	08	15	Aug 15	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1564.MOV")	Washington	District of Columbia
2014	08	15	Aug 15	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1562.mov")	Washington	District of Columbia
2014	08	15	Aug 15	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1557.MOV")	Washington	District of Columbia
2014	08	16	Aug 16	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1586.MOV")	Washington	District of Columbia
2014	08	15	Aug 15	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1565.MOV")	Washington	District of Columbia
2014	08	16	Aug 16	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1643.mov")	Riverhead	New York
